 "GUID","COLLECTION","CAT_NUM","DEACCESSIONED","TOPTYPESTATUS","SCI_NAME_WITH_AUTH_PLAIN","SPEC_LOCALITY","COLLECTORS","BEGAN_DATE","ENDED_DATE","COUNTRY","STATE_PROV","WATERBODY","VERBATIM_DATE","OTHERCATALOGNUMBERS"
"MCZ:Ich:155936","Ichthyology","155936","","","Muraena infernalis","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=76"
"MCZ:Ich:160141","Ichthyology","160141","","","Balistes capriscus","Station 36","RV Albatross IV","2001-09-08","2001-09-08","","","Mid Atlantic Bight, Slope Water","8/9/2001-8/9/2001","field number=AL01-10:036; group number=778; previous number=PGB-29"
"MCZ:Ich:160146","Ichthyology","160146","","","Helicolenus dactylopterus (Delaroche, 1809)","Station 5","RV Albatross IV","2001-09-05","2001-09-05","","","Mid Atlantic Bight, Slope Water","5/9/2001-5/9/2001","field number=AL01-10:005; group number=423; previous number=PGB-34"
"MCZ:Ich:160147","Ichthyology","160147","","","Helicolenus dactylopterus (Delaroche, 1809)","Station 5","RV Albatross IV","2001-09-05","2001-09-05","","","Mid Atlantic Bight, Slope Water","5/9/2001-5/9/2001","field number=AL01-10:005; group number=423; previous number=PGB-35"
"MCZ:Ich:160178","Ichthyology","160178","","","Antigonia capros Lowe, 1843","Station 19","RV Albatross IV","2001-09-07","2001-09-07","United States","","Atlantic, Northwest","7/9/2001-7/9/2001","field number=AL01-10:019; group number=385; previous number=PGB-50"
"MCZ:Ich:160833","Ichthyology","160833","partial","Genetic Voucher","Gephyroberyx darwini (Johnson, 1866)","Station 19","RV Albatross IV","2001-09-07","2001-09-07","United States","","Atlantic, Northwest","7/9/2001-7/9/2001","NCBI GenBank number=KC825868; NCBI GenBank number=KC827344; NCBI GenBank number=KC827622; NCBI GenBank number=KC829046; NCBI GenBank number=KC829546; NCBI GenBank number=KC829817; NCBI GenBank number=KC830335; NCBI GenBank number=KC831276; field number=AL01-10:019; group number=369; other number=KU:KUIT:5248; previous number=A-14259, 14261"
"MCZ:Ich:152639","Ichthyology","152639","","","Labrus pavo Linnaeus, 1758","[no specific locality data]","[no agent data]","1700-01-01","1997-03-01","","","","[no verbatim date data]","field number=NODATA-SKELETAL; group number=627"
"MCZ:Ich:152647","Ichthyology","152647","","","Tautoga onitis (Linnaeus, 1758)","Menemsha Bight, off Marthas Vineyard","FV Cap'n Bill III","1966-08-03","1966-08-03","","","Atlantic, Northwest","3/8/1966-3/8/1966","field number=CBILL-1966:0803; group number=627"
"MCZ:Ich:157704","Ichthyology","157704","","","Urophycis tenuis (Mitchill, 1814)","[no specific locality data]","RV Gloria Michelle, Karsten E. Hartel","1991-08-08","1991-08-08","","","Gulf of Maine","8/8/1991-8/8/1991","field number=GM9170:055; group number=319"
"MCZ:Ich:153645","Ichthyology","153645","","","Thunnus thynnus (Linnaeus, 1758)","Cape Cod, Provincetown","Frank G. Carey","1967-08-01","1967-08-31","","","Atlantic, Northwest","0/8/1967-0/8/1967","field number=CAPECOD1967:08; group number=733"
