 "GUID","COLLECTION","CAT_NUM","DEACCESSIONED","TOPTYPESTATUS","SCI_NAME_WITH_AUTH_PLAIN","SPEC_LOCALITY","COLLECTORS","BEGAN_DATE","ENDED_DATE","COUNTRY","STATE_PROV","WATERBODY","VERBATIM_DATE","OTHERCATALOGNUMBERS"
"MCZ:Ich:147208","Ichthyology","147208","","Voucher","Lycenchelys paxillus (Goode and Bean, 1879)","[coordinate data only]","Richard H. Backus, RV Gosnold 106","1967-10-05","1967-10-05","United States","","Atlantic, Northwest","5/10/1967-5/10/1967","field number=RHB1602; group number=330; previous number=JEC Otolith 1031"
"MCZ:Ich:164201","Ichthyology","164201","","Figured","Naucrates ductor (Linnaeus, 1758)","dip netted under L.L. float","RV Atlantis II 078","1973-09-09","1973-09-09","","","Atlantic Ocean","9/9/1973-9/9/1973","field number=LL1978:0909; group number=533"
"MCZ:Ich:164211","Ichthyology","164211","","Voucher","Linophryne brevibarbata Beebe, 1932","Bear Seamount","RV Delaware II 04-09","2004-06-03","2004-06-03","United States","","Georges Bank","3/6/2004-3/6/2004","NCBI GenBank number=LC091869; field number=DL04-09:002; group number=310; previous number=T-1004"
"MCZ:Ich:160656","Ichthyology","160656","","","Acanthochromis polyacanthus (Bleeker, 1855)","Magnetic Island, Great Barrier Reef, near Townsville","Kathryn Kavanagh","1993-10-03","1993-10-03","Australia","","Pacific, Western Central","3/10/1993-3/10/1993","field number=KK93:1003; group number=603"
"MCZ:Ich:160663","Ichthyology","160663","","","Acanthochromis polyacanthus (Bleeker, 1855)","Magnetic Island, Great Barrier Reef, near Townsville","Kathryn Kavanagh","1994-05-25","1994-05-25","Australia","","Pacific, Western Central","25/5/1994-25/5/1994","field number=KK94:0525; group number=603"
"MCZ:Ich:160669","Ichthyology","160669","","","Acanthochromis polyacanthus (Bleeker, 1855)","Magnetic Island, Great Barrier Reef, near Townsville","Kathryn Kavanagh","1994-03-23","1994-03-23","Australia","","Pacific, Western Central","23/3/1994-23/3/1994","field number=KK95:0323; group number=603"
"MCZ:Ich:164679","Ichthyology","164679","","","Harengula sp.","St. Georges, Bermuda, Meyers Wharf.","RV Crawford","1700-01-01","2007-03-01","","","Caribbean Sea","[no verbatim date data]","field number=Z58741; group number=110"
"MCZ:Ich:156706","Ichthyology","156706","","","Zalembius rosaceus (Jordan and Gilbert, 1880)","[no specific locality data]","[no agent data]","1981-03-25","1981-03-25","","","","25 Mar 1981","field number=NODATA; group number=599"
"MCZ:Ich:152605","Ichthyology","152605","","","Brama brama Fries, 1837","Sta. C4908-102.74 (1005)","California Cooperative Oceanic Fisheries Investigation","1949-08-12","1949-08-12","","","Pacific Ocean","12/8/1949-12/8/1949","field number=CCOFI:C4908-102; group number=543"
"MCZ:Ich:152606","Ichthyology","152606","","Voucher","Brama japonica Hilgendorf, 1878","Sta. C5101-100.90","California Cooperative Oceanic Fisheries Investigation","1951-01-15","1951-01-15","Mexico","","Pacific, Eastern Central","15/1/1951-15/1/1951","field number=CCOFI:C5101-100; group number=543"
